,Age,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,WS/48,3P%,2P%,FT%,height,weight,college,Salary,BMI,SG,PF,C,SF,PG,Age^2,height^2,weight^2,BMI^2
405,6.5,5.454545454545454,6.573170731707317,1.2167300380228137,3.1404958677685952,2.845849802371542,6.788830715532286,2.3423423423423424,0.32967032967032966,4.610091743119266,3.082901554404145,3.06,4.43,8.91,8.735632183908047,6.689655172413794,0.0,4.115902665749779,7.814557793135178,0.0,0.0,0.0,0.0,10.0,42.25,76.31126965253007,44.751486325802624,61.06731350224974
406,7.75,2.142857142857143,6.158536585365853,0.6844106463878328,2.617079889807163,2.2134387351778653,1.012216404886562,0.9909909909909911,2.087912087912088,2.8899082568807337,0.49222797927461137,3.8600000000000003,3.5599999999999996,7.22,8.96551724137931,7.586206896551724,10.0,0.0344847769267254,8.413241152128561,10.0,0.0,0.0,0.0,0.0,60.0625,80.38049940546966,57.55053507728894,70.78262668386952
407,5.0,4.967532467532468,6.317073170731708,0.6844106463878328,3.2782369146005514,2.648221343873518,4.677137870855149,2.0720720720720722,0.7692307692307693,3.577981651376146,0.8808290155440415,3.5199999999999996,4.47,7.82,8.85057471264368,6.724137931034483,10.0,1.6037921087117297,7.65214204301069,0.0,0.0,0.0,0.0,10.0,25.0,78.33267274408774,45.2140309155767,58.55527784641181
408,5.0,2.2402597402597406,5.7195121951219505,1.1406844106463878,4.517906336088155,3.8339920948616597,1.2565445026178013,1.0810810810810811,1.7582417582417584,3.2110091743119265,0.5699481865284973,3.21,4.38,6.57,9.540229885057471,8.275862068965518,10.0,0.7352400558782444,8.10559535009174,0.0,10.0,0.0,0.0,0.0,25.0,91.01598625974368,68.48989298454222,65.70067597942884
409,7.0,2.1103896103896105,5.0,10.0,2.2589531680440773,6.719367588932807,0.0,3.4234234234234235,6.813186813186814,6.674311926605505,-0.7512953367875648,,2.5,10.0,9.540229885057471,8.103448275862068,10.0,0.5378921100092121,7.936728780298163,0.0,0.0,10.0,0.0,0.0,49.0,91.01598625974368,65.66587395957191,62.99166373201317
410,5.5,4.155844155844156,6.195121951219512,2.2053231939163496,5.7300275482093666,5.256916996047431,2.4956369982547995,1.1711711711711712,1.208791208791209,3.4862385321100913,0.5958549222797928,3.11,4.6899999999999995,7.82,9.425287356321839,7.689655172413793,0.0,0.6984953528503526,7.716262975778546,0.0,10.0,0.0,0.0,0.0,30.25,88.83604174924031,59.1307966706302,59.540714311370785
411,6.25,2.75974025974026,5.853658536585366,1.4828897338403042,2.506887052341598,2.5691699604743086,2.9144851657940665,1.6216216216216217,0.7692307692307693,4.3807339449541285,1.0621761658031088,2.4299999999999997,4.77,6.97,9.080459770114942,7.241379310344827,0.0,0.8649883010332284,7.828795957528321,10.0,0.0,0.0,0.0,0.0,39.0625,82.4547496366759,52.43757431629013,61.29004614461178
412,5.75,5.227272727272727,6.5,0.7224334600760456,2.479338842975207,2.1739130434782608,6.195462478184992,1.3513513513513513,0.6593406593406593,3.738532110091743,1.8393782383419688,3.4000000000000004,4.859999999999999,8.55,8.390804597701148,5.93103448275862,0.0,4.469106222005014,7.509527096302078,0.0,0.0,0.0,0.0,10.0,33.0625,70.40560179680273,35.177170035671814,56.39299721009512
413,7.0,1.9155844155844157,4.390243902439025,2.167300380228137,4.132231404958678,4.1106719367588935,2.181500872600349,0.900900900900901,1.4285714285714288,2.591743119266055,-0.36269430051813467,1.48,4.0600000000000005,8.75,9.195402298850574,8.172413793103448,10.0,0.49291012339058116,8.615852076124566,0.0,10.0,0.0,0.0,0.0,49.0,84.55542343770642,66.7883472057075,74.23290699766001
414,8.0,3.8636363636363633,6.329268292682927,1.4448669201520912,4.049586776859504,3.6758893280632416,1.7277486910994766,2.7027027027027026,1.8681318681318682,2.7293577981651373,2.538860103626943,3.4200000000000004,4.84,7.33,9.080459770114942,7.586206896551724,0.0,1.5137295268081499,8.20159576502967,0.0,0.0,0.0,10.0,0.0,64.0,82.4547496366759,57.55053507728894,67.2661730929526
